a fortiori,from stronger,"An a fortiori argument is an ""argument from a stronger reason"", meaning that, because one fact is true, a second (related and included) fact must also be true."
a mensa et thoro,from table and bed,Divorce a mensa et thoro indicates legal separation without legal divorce.
a posteriori,from later,An argument derived from subsequent event.
a priori,from earlier,An argument derived from previous event.
a quo,from which,"Regarding a court below in an appeal, either a court of first instance or an appellate court, known as the court a quo."
ab extra,from outside,"Concerning a case, a person may have received some funding from a 3rd party. This funding may have been considered ab extra."
ab initio,from the beginning,"Commonly used referring to the time a contract, statute, marriage, or deed become legal. e.g The couple was covered ab initio by her health policy.[1]"
absque hoc,without this,Presenting the negative portion of a plea when pleading at common by way a special traverse.[1]
Actori incumbit onus probatio,on the plaintiff rests the proving,"The burden of proof falls to the plaintiff, claimant, or petitioner according to Roman law."
actus reus,guilty act,Part of what proves criminal liability (with mens rea).
ad coelum,to the sky,"Abbreviated from Cuius est solum eius est usque ad coelum et ad infernos which translates to ""[for] whoever owns [the] soil, [it] is his all the way [up] to Heaven and [down] to Hell."" The principle that the owner of a parcel of land also owns the air above and the ground below the parcel."
ad colligenda bona,to collect the goods,
ad hoc,for this,"Generally signifies a solution designed for a specific problem or task, non-generalizable, and not intended to be able to be adapted to other purposes."
ad hominem,at the person,Attacking an opponent's character rather than answering his argument.
ad idem,to the same thing,In agreement.
ad infinitum,to infinity,To continue forever.
ad litem,for the case,"Describes those designated to represent parties deemed incapable of representing themselves, such as a child or incapacitated adult."
ad quod damnum,according to the harm,Used in tort law. Implies that the reward or penalty ought to correspond to the damage suffered or inflicted.
ad valorem,according to value,
adjournment sine die,adjournment without a day,When an assembly adjourns without setting a date for its next meeting.
affidavit,he has sworn,A formal statement of fact.
alter ego,another I,A second identity living within a person.
amicus curiae,friend of the court,A person who offers information to a court regarding a case before it.
animus contrahendi,contractual intent,Intention to contract.
animus nocendi,intention to harm,"The subjective state of mind of the author of a crime, with reference to the exact knowledge of illegal content of his behaviour, and of its possible consequences."
animus possidendi,intention to possess,"In order to claim possessory rights, an individual must establish physical control of the res and the intention to possess (i.e. animus possidendi)[2]"
animus revertendi,intention to return,"Wild animals, such as bees and homing pigeons, that by habit go 'home' to their possessor. Used when discussing ferae naturae.[2]"
ante,before,ÒAn antenuptial agreement is a contract between two people that is executed before marriage.Ó
(in) arguendo,for the sake of argument,
Audi alteram partem,hear the other side,Refers to the idea that one cannot be fairly judged unless the cases for and against them have been heard.
bona fide,in good faith,Implies sincere good intention regardless of outcome.
bona vacantia,ownerless goods,
Cadit quaestio,the question falls,"Indicates that a settlement to a dispute or issue has been reached, and the issue is now resolved."
Casus belli,case of war,The justification for acts of war.
casus fortuitus,fortuitous event,"Force majeure, specifically a man-made inevitable accident (e.g. riots, strikes, civil war); ex: When H.M.S. Bounty was destroyed by Hurricane Sandy, October 29, 2012, casus fortuitus would describe the H.M.S. Bounty being at the wrong place when Hurricane Sandy came up the coast.HMS Bounty Sinks Compare vis major (see below)."
Caveat,May he beware,"When used by itself, refers to a qualification, or warning."
Caveat emptor,Let the buyer beware,"In addition to the general warning, also refers to a legal doctrine wherein a buyer could not get relief from a seller for defects present on property which rendered it unfit for use."
Certiorari,to be apprised,A type of writ seeking judicial review.
Ceteris paribus,with other things the same,"More commonly rendered in English as ""All other things being equal."""
cogitationis poenam nemo patitur,Nobody suffers punishment for mere intent,
communio bonorum,community of property,The aggregate of marital property under a community property matrimonial regime.
compensatio morae,balance of delay,Delay in payment or performance on the part of both the debtor and the creditor.
compos mentis,having command of mind,"Of sound mind. Also used in the negative ""Non compos mentis"", meaning ""Not of sound mind""."
Condicio sine qua non,A condition without which it could not be,"An indispensable and essential action, condition, or ingredient."
consensus ad idem,agreement to the same,"Meeting of the minds, mutual assent, or concurrence of wills. Parties must be of one mind and their promises must relate to the same subject or object[3] Also consensus in idem."
consensus facit legem,consensus makes the law,"Stipulates that when two or more persons arrive at a good faith agreement, the law will insist on that agreement being carried out."
consuetudo pro lege servatur,Custom is held as law,"Where no laws apply to a given situation, the customs of the place and time will have the force of law."
contra,against,Used in case citations to indicate that the cited source directly contradicts the point being made.
contra bonos mores,against good morals,Contracts so made are generally illegal and unenforceable.
contra legem,against the law,Used when a court or tribunal hands down a decision that is contrary to the laws of the governing state.
Contradictio in adjecto,contradiction in itself,A contradiction in terms.
contra proferentem,against the one bringing forth,Used in contract law to stipulate that an ambiguous term in a contract shall be interpreted against the interests of the party that insisted upon the term's inclusion. Prevents the intentional additions of ambiguous terminology from being exploited by the party who insisted on its inclusion.
coram non judice,before one who is not a judge,"Refers to a legal proceeding without a judge, or with a judge who does not have proper jurisdiction."
corpus delicti,body of the crime,"A person cannot be convicted of a crime, unless it can be proven that the crime was even committed."
corpus juris,body of law,The complete collection of laws of a particular jurisdiction or court.
corpus juris civilis,body of civil law,The complete collection of civil laws of a particular jurisdiction or court. Also sometimes used to refer to the Code of Justinian.
corpus juris gentium,body of the law of nations,The complete collection of international law.
corpus juris secundum,,An encyclopedia of US law drawn from US Federal and State court decisions.
crimen falsi,crime of falsifying,Forgery.
cui bono,as a benefit to whom?,"Suggests that the perpetrator(s) of a crime can often be found by investigating those who would have benefited financially from the crime, even if it is not immediately obvious."
cuius est solum eius est usque ad coelum et ad inferos,"For whoever owns the soil, it is theirs up to Heaven and down to Hell","Used in reference to the rights of property owners to the air above, and land below, their property."
de bonis asportatis,carrying goods away,"Specifies that larceny was taking place in addition to any other crime named. E.g. ""trespass de bonis asportatis""."
debellatio,warring down,"Complete annihilation of a warring party, bringing about the end of the conflict."
de bonis non administratis,of goods not administered,"Assets of an estate remaining after the death (or removal) of the designated estate administrator. An ""administrator de bonis non administratis"" will then be appointed to dispose of these goods."
de die in diem,from day to day,Generally refers to a type of labor in which the worker is paid fully at the completion of each day's work.
de facto,in fact,"Literally ""from fact""; often used to mean something that is true in practice, but has not been officially instituted or endorsed. ""For all intents and purposes"". Cf. de jure."
de futuro,concerning the future,At a future date.
de integro,concerning the whole,"Often used to mean ""start it all over"", in the context of ""repeat de integro""."
